date,time,longitude,latitude,depth,magnitude,dist,pred_dyn
2010-04-04,22:40:42.36,-115.2953,32.2862,10.00,7.20,103.18,1707.805
2010-06-15,04:26:58.48,-115.9213,32.7002,5.41,5.72,60.26,188.676
2009-12-30,18:48:57.33,-115.1892,32.4640,6.00,5.80,88.51,134.399
2012-04-12,07:15:48.50,-113.1040,28.6960,13.00,7.00,551.50,132.863
2009-08-03,17:59:56.17,-112.9030,29.0390,10.00,6.90,526.48,115.988
2010-04-04,22:50:17.12,-115.0482,32.0987,10.00,5.70,130.76,66.796
2012-12-14,10:36:2.00,-119.5600,31.2130,11.30,6.40,431.08,56.418
2012-12-14,10:38:25.11,-119.5600,31.2130,11.00,6.30,431.08,46.389
2009-08-03,18:40:50.10,-113.7280,29.3100,10.00,6.20,464.77,34.614
2011-03-11,05:46:24.12,142.3730,38.2970,29.00,9.10,8732.53,28.270
2012-04-12,07:06:0.57,-113.0270,28.8370,9.00,6.00,540.72,19.252
2009-08-05,09:13:12.30,-113.7890,29.6150,10.00,5.80,431.31,17.423
2010-02-27,06:34:11.53,-72.8980,-36.1220,22.90,8.80,8859.51,13.833
2012-10-28,03:04:8.82,-132.1010,52.7880,14.00,7.80,2547.70,10.950
2012-10-28,03:07:30.00,-131.9270,52.7690,5.00,7.70,2538.80,8.749
2009-08-03,17:55:22.71,-112.9970,28.9040,10.00,5.50,535.38,7.329
2014-04-01,23:46:47.24,-70.7765,-19.6097,25.00,8.20,7531.57,4.550
2013-01-05,08:58:19.33,-134.6500,55.3940,10.00,7.50,2879.04,4.480
2012-03-20,18:02:47.44,-98.2310,16.4930,20.00,7.40,2540.91,4.379
2014-03-10,05:18:13.43,-125.1338,40.8287,16.64,6.80,1198.29,3.830
2013-10-19,17:54:54.70,-110.3209,26.0913,9.45,6.60,937.22,3.634
2012-04-11,08:38:36.72,93.0630,2.3270,20.00,8.60,15066.69,3.615
2010-10-21,17:53:13.57,-109.1560,24.6960,13.00,6.70,1130.36,3.352
2014-04-18,14:27:24.99,-100.9630,17.4007,24.00,7.20,2280.62,3.306
2012-09-05,14:42:7.88,-85.3080,10.0990,35.00,7.60,4015.40,3.247
2009-09-29,17:48:10.99,-172.0950,-15.4890,18.00,8.10,8053.27,3.234
2012-11-07,16:35:46.69,-91.8540,13.9630,24.00,7.40,3209.39,2.971
2012-08-27,04:37:19.43,-88.5900,12.1390,28.00,7.40,3601.78,2.454
2009-05-28,08:24:46.56,-86.2170,16.7310,19.00,7.30,3461.90,2.081
2010-01-10,00:27:39.32,-124.6925,40.6520,29.33,6.50,1157.60,2.033
2013-02-06,01:12:27.00,165.1380,-10.7380,28.70,8.00,9670.19,1.896
2012-09-25,23:45:24.94,-110.1730,24.6660,10.00,6.30,1081.43,1.436
2012-04-11,10:43:10.85,92.4630,0.8020,25.10,8.20,15242.81,1.412
2014-04-03,02:43:14.78,-70.4711,-20.5700,35.00,7.70,7633.64,1.407
2012-04-11,22:55:10.25,-102.6890,18.2290,20.00,6.70,2098.49,1.200
2009-10-07,22:18:51.24,166.3820,-12.5170,35.00,7.80,9670.19,1.196
2011-06-24,03:09:39.47,-171.8360,52.0500,52.00,7.30,4920.05,1.161
2008-05-12,06:28:1.57,103.3220,31.0020,19.00,7.90,11822.28,1.079
2014-03-10,05:18:13.43,-125.1338,40.8287,16.64,6.80,1197.32,3.830
2010-02-04,20:20:21.97,-124.9613,40.4123,23.63,5.88,1155.77,0.488
2012-02-13,21:07:2.77,-123.7903,41.1432,28.24,5.60,1142.22,0.261
2012-07-21,01:52:2,-120.0000,41.0000,20.00,5.10,1111,0.100
